ErrorValue_1,AccuracyValue_1,ErrorValue_2,AccuracyValue_2,ErrorValue_3,AccuracyValue_3,ErrorValue_4,AccuracyValue_4,ErrorValue_5,AccuracyValue_5,ErrorValue_6,AccuracyValue_6,ErrorValue_7,AccuracyValue_7,ErrorValue_8,AccuracyValue_8,ErrorValue_9,AccuracyValue_9,ErrorValue_10,AccuracyValue_10,ErrorValue_11,AccuracyValue_11,ErrorValue_12,AccuracyValue_12,ErrorValue_13,AccuracyValue_13,ErrorValue_14,AccuracyValue_14,ErrorValue_15,AccuracyValue_15,ErrorValue_16,AccuracyValue_16,ErrorValue_17,AccuracyValue_17,ErrorValue_18,AccuracyValue_18,ErrorValue_19,AccuracyValue_19,ErrorValue_20,AccuracyValue_20,ErrorValue_21,AccuracyValue_21,ErrorValue_22,AccuracyValue_22,ErrorValue_23,AccuracyValue_23,ErrorValue_24,AccuracyValue_24,ErrorValue_25,AccuracyValue_25,ErrorValue_26,AccuracyValue_26,ErrorValue_27,AccuracyValue_27,ErrorValue_28,AccuracyValue_28,ErrorValue_29,AccuracyValue_29,ErrorValue_30,AccuracyValue_30,ErrorValue_31,AccuracyValue_31,ErrorValue_32,AccuracyValue_32,ErrorValue_33,AccuracyValue_33,ErrorValue_34,AccuracyValue_34,ErrorValue_35,AccuracyValue_35,ErrorValue_36,AccuracyValue_36,ErrorValue_37,AccuracyValue_37,ErrorValue_38,AccuracyValue_38,ErrorValue_39,AccuracyValue_39,ErrorValue_40,AccuracyValue_40,ErrorValue_41,AccuracyValue_41,ErrorValue_42,AccuracyValue_42,ErrorValue_43,AccuracyValue_43,ErrorValue_44,AccuracyValue_44,ErrorValue_45,AccuracyValue_45,ErrorValue_46,AccuracyValue_46,ErrorValue_47,AccuracyValue_47,ErrorValue_48,AccuracyValue_48,ErrorValue_49,AccuracyValue_49,ErrorValue_50,AccuracyValue_50,ErrorValue_51,AccuracyValue_51,ErrorValue_52,AccuracyValue_52,ErrorValue_53,AccuracyValue_53,ErrorValue_54,AccuracyValue_54,ErrorValue_55,AccuracyValue_55,ErrorValue_56,AccuracyValue_56,ErrorValue_57,AccuracyValue_57,ErrorValue_58,AccuracyValue_58,ErrorValue_59,AccuracyValue_59,ErrorValue_60,AccuracyValue_60,ErrorValue_61,AccuracyValue_61,ErrorValue_62,AccuracyValue_62,ErrorValue_63,AccuracyValue_63,ErrorValue_64,AccuracyValue_64,ErrorValue_65,AccuracyValue_65,ErrorValue_66,AccuracyValue_66,ErrorValue_67,AccuracyValue_67,ErrorValue_68,AccuracyValue_68,ErrorValue_69,AccuracyValue_69,ErrorValue_70,AccuracyValue_70,ErrorValue_71,AccuracyValue_71,ErrorValue_72,AccuracyValue_72,ErrorValue_73,AccuracyValue_73,ErrorValue_74,AccuracyValue_74,ErrorValue_75,AccuracyValue_75,ErrorValue_76,AccuracyValue_76,ErrorValue_77,AccuracyValue_77,ErrorValue_78,AccuracyValue_78,ErrorValue_79,AccuracyValue_79,ErrorValue_80,AccuracyValue_80,ErrorValue_81,AccuracyValue_81,ErrorValue_82,AccuracyValue_82,ErrorValue_83,AccuracyValue_83,ErrorValue_84,AccuracyValue_84,ErrorValue_85,AccuracyValue_85,ErrorValue_86,AccuracyValue_86,ErrorValue_87,AccuracyValue_87,ErrorValue_88,AccuracyValue_88,ErrorValue_89,AccuracyValue_89,ErrorValue_90,AccuracyValue_90,ErrorValue_91,AccuracyValue_91,ErrorValue_92,AccuracyValue_92,ErrorValue_93,AccuracyValue_93,ErrorValue_94,AccuracyValue_94,ErrorValue_95,AccuracyValue_95
1,0.9999999,2,0.99999976,3,0.9999962,4,0.9999101,5,1.0,6,0.9986634,7,0.9854417,8,0.9999999,9,0.9999765,10,0.9998635,11,0.9999807,12,0.99993515,13,0.9999962,14,0.9999957,15,1.0,16,1.0,17,0.99957055,18,0.99873096,19,0.99999857,20,0.9999995,21,0.9915097,22,1.0,23,0.9994228,24,0.99836034,25,0.99998903,26,0.9997807,27,0.99999726,28,0.99999976,29,0.9997861,30,0.9999696,31,0.9996959,32,0.9997104,33,0.9999912,34,0.999997,35,0.99799985,36,0.9999654,37,0.99809223,38,0.99993896,39,0.9999019,40,0.99992657,41,0.9997639,42,0.9999814,43,0.9997136,44,0.9999858,45,0.9998765,46,0.99879694,47,0.9961112,48,0.9999248,49,0.9989511,50,0.9998265,51,0.99958867,52,1.0,53,0.9999993,54,0.9999988,55,0.99999714,56,0.99998367,57,0.99997365,58,0.99966705,59,1.0,60,0.9995983,61,0.9999939,62,0.99972636,63,0.9998597,64,0.99962497,65,0.9999995,66,0.9999924,67,0.9997054,68,0.9997942,69,0.999845,70,0.9999274,71,0.9999999,72,0.99977344,73,0.99999356,74,0.99995863,75,0.999992,76,0.99994624,77,0.99998784,78,0.99996686,79,0.99997115,80,0.99985445,81,0.9991906,82,0.9995353,83,0.9994506,84,0.9999732,85,0.99983776,86,0.99895203,87,0.9993849,88,0.9999683,89,0.99998975,90,0.99997926,91,0.9820525,92,0.9999746,93,0.9991899,94,0.99999774,95,0.99994516
67,3.6226588e-08,6,1.9349083e-07,65,2.3200125e-06,21,7.594128e-05,6,1.5563042e-08,12,0.0011151434,26,0.009766736,20,1.432012e-07,6,1.6159098e-05,20,6.984534e-05,55,1.9003415e-05,6,6.324936e-05,6,3.805036e-06,6,3.8577928e-06,6,7.910454e-09,78,4.563061e-08,68,0.00041813892,38,0.0012517486,20,1.0425108e-06,2,4.0317713e-07,4,0.008201605,28,4.7506102e-08,15,0.00057072745,21,0.00081102125,3,7.789745e-06,34,7.3528354e-05,66,1.2243834e-06,6,1.947417e-07,6,0.00021348894,74,1.864228e-05,9,0.00022742678,89,0.00014902104,16,5.7492243e-06,28,1.8829736e-06,21,0.0014351715,55,1.7813825e-05,11,0.0017780017,2,4.5347053e-05,54,9.4012736e-05,6,6.6147724e-05,20,0.00023355332,36,1.6133432e-05,6,0.00028404975,16,1.40549255e-05,70,6.125789e-05,21,0.0006922193,16,0.0038854878,78,3.8448128e-05,7,0.00095301296,70,9.928805e-05,21,0.00017387191,16,1.2172404e-08,14,4.8244544e-07,10,6.316706e-07,19,1.8833582e-06,52,8.805006e-06,40,1.7960061e-05,65,0.0001030394,10,2.7569818e-09,35,0.00012629792,28,5.812835e-06,31,0.00018048627,55,0.00014008187,36,0.000117596705,59,2.795703e-07,40,6.7664505e-06,2,0.00029458082,75,0.00019849783,34,8.332375e-05,16,7.2022885e-05,40,1.4007873e-07,41,0.00022559158,41,5.2729406e-06,16,2.2560334e-05,14,7.0465826e-06,1,2.7040638e-05,73,5.9088725e-06,3,1.7935154e-05,33,1.8516559e-05,87,8.9587396e-05,53,0.00062603405,2,0.00035802176,17,0.00021615696,44,2.67821e-05,16,0.00011916552,63,0.0009395882,11,0.0002736452,69,1.8499455e-05,25,9.291848e-06,3,1.8709234e-05,43,0.017785488,26,2.0215795e-05,85,0.00078327634,68,1.5760507e-06,49,3.3699405e-05
19,2.8592016e-08,28,1.1856588e-09,25,1.4722868e-06,28,7.816462e-06,13,1.8401363e-09,29,0.000215421,49,0.0035474477,67,1.7704923e-09,10,7.018828e-06,6,6.6502376e-05,10,3.631453e-07,75,1.4441558e-06,5,2.6474938e-08,75,4.941837e-07,14,2.190102e-09,6,7.306922e-09,90,8.91034e-06,15,1.5730826e-05,10,3.3606813e-07,10,1.061935e-07,35,0.00012772011,6,2.3493554e-08,27,3.9421843e-06,60,0.00029964736,66,1.6816746e-06,43,4.4883975e-05,59,1.0960825e-06,2,4.679523e-10,2,4.2759515e-07,78,5.323599e-06,36,5.379789e-05,3,0.00011537516,42,2.837985e-06,69,8.8365715e-07,76,0.00034564515,42,7.841318e-06,3,0.00012907431,28,1.0058539e-05,72,3.417044e-06,66,5.516431e-06,10,2.449773e-06,41,2.3580706e-06,12,1.4014892e-06,52,1.541325e-07,78,5.657799e-05,36,0.00022447077,78,2.726848e-06,37,2.7681108e-05,44,6.210482e-05,90,6.79205e-05,80,0.00014070228,95,2.7692244e-09,23,1.4360087e-07,3,5.5920555e-07,1,4.6647602e-07,16,7.5467924e-06,49,2.0486607e-06,72,8.088905e-05,11,8.026274e-10,8,0.000105038205,38,2.011727e-07,9,9.270537e-05,11,8.013608e-08,63,0.00011285774,90,2.3688521e-07,3,3.628529e-07,1,3.2771318e-08,47,3.2464304e-06,26,7.0037204e-05,75,4.0221872e-07,6,1.3326501e-09,73,7.4215967e-07,59,8.2060467e-07,6,1.3130369e-05,16,8.686936e-07,86,8.012743e-06,58,1.3998537e-06,16,1.4947701e-05,3,1.0140685e-05,42,2.956215e-05,83,0.00010417878,20,6.1518826e-05,50,0.00020416497,91,1.7239337e-08,63,3.2536187e-05,35,7.779771e-05,63,0.00022414733,29,4.8092998e-06,57,4.2480306e-07,65,1.5076284e-06,26,7.580525e-05,7,4.0042714e-06,64,1.5712125e-05,75,4.9101413e-07,57,7.0130272e-06
55,5.7420984e-09,20,1.5611067e-10,14,4.012994e-08,34,4.3531804e-06,16,9.04239e-11,3,4.7957374e-06,43,0.0009609578,31,6.1841504e-10,14,2.7852388e-07,19,5.141657e-08,41,8.455568e-10,74,1.787593e-07,4,9.884884e-10,26,2.1881313e-08,82,1.2753547e-09,74,2.9149538e-09,27,1.4056279e-06,2,1.207362e-06,1,7.0263684e-10,19,5.8825986e-08,24,3.5887024e-05,54,3.3438983e-09,59,2.4037424e-06,69,0.00023238265,14,1.4620789e-06,92,4.0100047e-05,90,3.4384772e-07,22,2.4089026e-11,12,2.8544713e-08,90,4.5513407e-06,67,2.1290458e-05,18,1.7535047e-05,10,2.1910397e-07,21,1.5627253e-07,31,0.0001301091,19,6.401679e-06,78,7.308377e-07,18,2.9562293e-06,62,5.268268e-07,2,1.5625371e-06,11,6.172976e-08,19,9.0136e-08,5,4.3976337e-07,49,2.9939475e-08,79,2.4261929e-06,31,0.00012455479,68,4.659422e-07,3,4.900215e-06,74,2.4615612e-05,75,5.3609483e-06,46,7.585289e-05,56,2.2598519e-09,3,5.043374e-08,59,3.774529e-09,11,2.0305148e-07,78,1.8609848e-08,25,1.9774152e-06,23,5.9567956e-05,15,4.6262322e-10,76,9.835961e-05,2,5.1562548e-08,15,1.8706176e-07,86,2.918969e-08,46,4.4554294e-05,73,3.3552833e-08,2,3.1818672e-07,20,2.1564222e-08,17,3.003305e-06,7,1.1790078e-06,47,9.803404e-08,28,1.1495894e-10,39,1.39016e-07,39,1.10739485e-07,30,5.703852e-06,6,8.2461646e-08,67,7.3420383e-06,17,1.1555717e-06,37,2.3079738e-07,9,1.3835488e-07,8,1.8546616e-05,45,4.549676e-05,9,4.4193577e-05,84,0.00010695414,88,2.0985453e-09,11,4.431342e-06,80,1.9328241e-05,41,0.00011613361,53,3.9626525e-06,30,2.4990538e-07,75,4.878219e-07,34,6.0382314e-05,94,7.120256e-07,63,4.873404e-06,84,1.8747996e-07,52,6.690429e-06
76,9.711032e-10,67,9.679755e-11,75,7.98534e-09,6,8.443324e-07,43,5.879779e-14,74,1.0145795e-06,34,0.00012894791,19,5.8294806e-11,2,3.7234906e-09,3,4.4756604e-08,37,4.8636234e-10,29,1.704233e-08,26,3.3099086e-11,43,1.6154954e-09,59,3.2609326e-10,5,1.5747688e-09,47,8.4138713e-07,71,3.503465e-07,11,6.376105e-10,82,2.678731e-08,51,3.116352e-05,4,4.321039e-10,65,1.4685189e-07,38,0.00016949575,6,1.16186015e-07,7,3.3063225e-05,52,4.887879e-08,4,1.2982519e-11,40,2.31433e-08,25,8.042861e-07,62,1.0388114e-06,25,7.1279296e-06,70,2.0223311e-08,61,2.2376797e-08,86,6.0274426e-05,1,2.3914574e-06,48,2.0937204e-08,26,2.1542642e-06,31,1.6348996e-07,28,1.1833524e-07,59,3.397908e-08,11,7.3474964e-09,7,3.620263e-07,84,7.7629805e-09,16,1.2600578e-06,35,0.00010755496,70,1.1892142e-07,73,2.1186258e-06,95,4.1059566e-06,68,6.114142e-07,86,7.717525e-06,59,1.6581146e-09,88,3.1844465e-08,66,1.6947098e-09,63,1.0658305e-07,37,2.536493e-09,71,1.9204754e-06,50,4.3288903e-05,20,3.2894246e-10,24,4.1433515e-05,69,5.1012954e-09,72,9.5911254e-08,42,2.4556426e-08,93,4.1229414e-05,41,5.516446e-09,6,1.3901594e-07,19,8.103537e-09,16,5.202617e-07,61,2.3711169e-07,68,3.679307e-08,15,6.783361e-11,42,7.388466e-08,11,8.742738e-08,49,1.48219e-08,68,2.4267436e-08,35,5.308605e-06,56,1.0183278e-06,48,3.787601e-08,10,5.2006726e-08,86,6.6508906e-06,93,2.8411227e-05,15,7.5033046e-07,81,1.2668027e-05,83,3.1138e-10,55,3.9275697e-06,76,5.4385027e-06,42,6.147203e-07,89,1.5225127e-06,27,1.568567e-07,78,1.771727e-08,7,1.663503e-05,71,1.5293554e-07,56,4.8122197e-06,17,2.2786496e-08,74,4.0182845e-06
20,1.8682754e-10,82,6.5169516e-11,32,7.0776016e-09,22,5.76178e-07,19,2.4332722e-14,13,2.0003039e-07,91,5.7117624e-05,72,4.283233e-11,20,2.5180755e-09,59,1.2894789e-09,54,6.402737e-11,78,1.0670637e-08,21,2.9403414e-11,29,2.1971489e-11,71,1.170036e-10,47,7.1658635e-10,52,8.395553e-08,40,1.895088e-08,5,1.3961768e-10,28,5.207152e-12,34,3.0931264e-05,55,1.0007505e-10,73,3.4794102e-08,35,3.6321893e-05,75,1.325867e-08,6,2.7674296e-05,71,6.908265e-09,40,1.1867436e-11,3,1.2393554e-08,95,6.433798e-07,21,2.5148063e-07,92,3.465849e-07,9,1.0499663e-08,26,6.4908394e-09,69,9.679751e-06,67,3.7882526e-08,55,7.969376e-09,15,3.768042e-07,79,2.4925733e-08,29,1.1365395e-07,54,7.1515056e-09,10,4.2780393e-09,26,6.4538746e-08,47,1.4687772e-09,68,1.1750643e-06,76,2.7428827e-05,5,2.0573063e-08,41,8.504455e-07,69,2.4395804e-06,3,3.0042543e-07,24,3.671973e-06,71,1.6243792e-09,89,2.8532892e-08,11,1.315491e-09,22,6.721174e-08,87,2.00848e-09,95,1.0606814e-06,39,2.3418737e-05,41,1.1437303e-10,21,1.5548656e-05,34,3.4032288e-09,39,7.753868e-08,85,1.9934744e-08,31,3.3260458e-05,75,3.732828e-09,10,6.604381e-08,36,1.1644076e-09,90,3.1541958e-07,28,9.2707225e-08,33,1.5950107e-08,18,1.1003042e-11,31,4.015903e-09,54,8.501208e-08,78,1.0536971e-09,12,4.667482e-09,8,3.4969978e-06,87,7.013437e-07,33,3.2233158e-09,45,2.0604073e-08,72,1.1030246e-06,84,2.6512437e-06,10,2.6305867e-07,94,5.0063963e-06,7,2.1307989e-10,47,1.5742905e-06,22,2.9174628e-06,73,2.0706418e-07,92,1.339608e-06,3,1.3926001e-07,16,8.9188505e-09,84,4.982781e-06,25,1.2835305e-07,39,4.3820623e-07,7,1.08985185e-08,30,2.6261712e-06
36,5.3877805e-11,15,3.6938616e-12,66,5.4267404e-09,13,3.8754837e-07,26,1.1368584e-16,2,7.4826424e-08,44,4.3576503e-05,82,3.623289e-11,13,1.7547769e-10,22,9.992126e-10,19,5.2268384e-11,16,5.083707e-09,22,1.5683487e-12,13,8.693203e-12,2,1.10461355e-10,3,1.5350343e-11,78,5.411599e-08,6,1.6216939e-08,55,6.495599e-11,59,4.3990857e-12,13,2.0889658e-05,10,2.7835565e-11,72,8.4296214e-09,61,3.0061006e-05,12,1.0758682e-08,29,7.651958e-08,16,6.277187e-09,34,7.635757e-12,25,9.50196e-09,75,1.753222e-07,6,6.704785e-08,53,2.3558366e-07,79,8.756364e-09,6,3.2970922e-09,36,4.302189e-06,31,1.4456821e-08,56,1.199541e-09,61,1.16463184e-07,93,3.1714427e-09,3,4.350262e-09,73,1.2618969e-09,64,3.2037548e-09,75,1.9517694e-09,34,6.451908e-10,33,7.112581e-07,64,1.370136e-05,44,9.095732e-09,42,4.9358067e-07,57,1.539791e-06,27,9.629904e-08,64,3.427862e-06,40,8.242401e-10,29,1.2006925e-08,22,9.645582e-10,42,7.029572e-11,3,1.2364686e-09,89,4.3771928e-07,27,1.4309678e-05,54,4.667728e-11,38,5.1401125e-06,6,1.4308567e-09,38,3.5343728e-08,87,1.2488152e-08,80,1.8057031e-05,16,2.4448565e-09,59,3.6338633e-08,9,8.622481e-10,70,1.0906681e-07,24,1.9681815e-08,3,8.502133e-09,52,6.9091295e-12,8,3.493052e-09,16,9.944712e-10,29,9.650788e-10,90,3.5234486e-09,2,1.1710673e-06,65,6.6067486e-07,11,4.6088786e-10,75,1.437332e-08,63,2.870774e-08,39,1.6604275e-06,6,4.3491486e-09,68,3.1327081e-06,94,6.142837e-11,93,5.715748e-07,55,1.8787076e-06,48,7.820332e-08,26,1.0246897e-06,32,3.6135887e-08,50,8.867912e-09,44,3.945781e-06,69,7.0186e-08,47,3.5029865e-07,16,5.632184e-09,71,6.1980796e-07
2,8.9468905e-13,38,9.131167e-13,90,2.1277298e-09,44,1.5303756e-09,34,4.7492476e-17,30,3.9878315e-10,69,3.390555e-05,76,3.2432276e-11,3,7.888157e-11,9,5.2967974e-10,22,1.9248856e-12,43,1.4261137e-09,28,1.3505655e-12,3,4.7670457e-12,66,9.001327e-12,44,1.3782969e-11,50,1.4113849e-08,92,1.1335485e-08,36,2.3266814e-11,41,2.3600388e-12,22,1.1558875e-05,40,4.9964107e-13,62,5.797545e-09,26,2.5110468e-05,29,5.794162e-09,2,5.1869634e-08,23,2.9561884e-09,61,6.8172347e-12,66,7.969923e-09,12,5.2744284e-08,13,6.228745e-08,24,2.7320352e-08,75,8.299155e-09,4,2.478241e-09,46,3.9208803e-06,63,1.39465195e-08,52,7.9988394e-10,71,5.268385e-08,63,2.2409938e-09,61,1.665184e-09,19,5.264474e-10,55,1.0949718e-09,29,1.3646848e-09,21,3.3662978e-10,75,3.0717867e-08,80,5.059578e-06,45,3.4737345e-11,87,3.536813e-07,30,4.9806346e-07,53,1.47707535e-08,35,2.917719e-06,44,6.555579e-10,32,1.11362155e-08,20,3.5128148e-10,36,3.1453902e-11,47,1.0494574e-09,30,2.7245693e-07,3,3.0257538e-06,66,3.8094344e-11,67,3.4511584e-06,40,1.319329e-09,2,1.5828235e-08,19,5.798144e-09,42,2.6931684e-06,10,7.887048e-10,20,1.0957489e-08,76,7.6324536e-10,78,1.0293674e-07,38,1.7041119e-08,10,6.174206e-09,2,2.1200982e-12,20,3.0354879e-09,23,6.898874e-10,7,8.637292e-10,70,1.5357939e-09,36,7.2925377e-07,90,5.1069696e-07,42,9.109515e-11,50,6.571013e-10,41,1.0610637e-08,64,4.079594e-07,14,2.8659805e-11,53,9.57718e-07,16,4.2757804e-11,42,3.5078475e-08,1,6.4199673e-07,86,4.4992493e-08,7,1.4397598e-07,95,6.5328476e-09,30,2.724452e-09,6,2.5967728e-07,6,9.633641e-09,84,2.9403648e-07,83,4.5812576e-09,89,1.0577777e-07
8,1.4376485e-14,22,3.179754e-13,50,1.3088353e-09,5,1.126654e-09,21,2.1511644e-17,14,1.0622555e-10,74,8.861957e-06,1,1.9000862e-11,82,2.7703716e-11,11,6.91113e-11,63,1.1685068e-12,5,4.7347753e-10,2,3.6640873e-13,25,1.5872468e-12,38,2.5014337e-12,33,1.0060974e-11,30,1.2052728e-08,26,1.0532007e-09,42,1.4644083e-11,22,2.2245823e-12,76,8.144358e-06,3,3.5029512e-13,71,1.9834412e-09,13,1.0925048e-05,2,4.149662e-09,71,1.2424184e-08,40,6.0973343e-10,38,3.6664985e-13,43,1.2373754e-09,66,4.3228987e-08,26,4.7356515e-08,66,1.4232778e-08,78,2.5234157e-09,7,4.0709128e-10,60,2.7467865e-06,5,1.0558635e-08,10,7.880027e-10,67,8.0047635e-10,73,1.1947727e-09,22,1.9470563e-10,42,5.8317524e-11,20,2.5432975e-10,34,9.277099e-10,74,2.0968144e-10,3,2.1217867e-08,86,3.1965064e-06,56,1.0673168e-11,16,3.518065e-07,6,1.5173715e-07,14,1.9771702e-09,81,1.4117485e-06,27,4.2868645e-10,50,8.2599785e-09,40,1.3522872e-10,5,1.2211185e-11,11,5.18023e-10,29,2.5677892e-07,89,2.1281367e-06,40,1.9645376e-11,80,1.5287385e-06,71,4.664107e-10,14,1.5236212e-08,22,5.6141722e-09,85,2.4340868e-06,82,6.132852e-10,54,7.5006674e-11,8,5.6898878e-11,7,1.9091605e-08,2,1.9718178e-09,11,5.894939e-10,23,2.0791949e-12,62,2.5502203e-09,27,6.2970557e-10,12,3.177767e-10,5,7.513798e-10,28,4.7594855e-07,48,3.2092711e-07,10,9.800033e-12,70,2.9498468e-10,64,1.2230106e-09,51,3.9794352e-07,66,1.7542526e-11,27,1.4960413e-07,52,1.1958735e-11,36,4.1572483e-09,28,1.1615865e-07,55,2.9770003e-08,49,7.40256e-08,92,6.490161e-09,68,2.3462068e-09,88,2.0790562e-08,57,6.3031758e-09,45,1.4546272e-07,89,3.049157e-09,27,6.167292e-08
28,3.705528e-15,13,2.4816293e-13,53,3.019398e-10,54,2.2092434e-11,47,1.4847798e-17,75,7.6351474e-11,16,3.7933198e-06,86,1.1919544e-11,15,2.6425227e-12,54,5.3712253e-11,3,1.0471691e-12,30,4.265699e-10,34,2.97053e-13,5,1.559801e-12,23,1.1301004e-12,21,2.9784573e-12,75,6.293674e-09,32,4.9572363e-10,9,4.7055038e-12,6,2.1910449e-13,86,6.6932607e-06,11,2.5183682e-14,54,2.5271563e-10,88,9.631946e-06,30,4.752511e-10,69,6.2428533e-09,89,1.1376744e-10,13,2.420294e-13,14,5.278232e-11,3,2.6264955e-08,22,3.71907e-08,29,3.1154836e-09,12,9.0045715e-10,84,3.747319e-10,24,2.2730999e-06,9,3.812876e-09,54,2.9918454e-10,6,6.9034073e-10,80,6.9346784e-10,71,9.1045796e-11,82,2.9306727e-11,87,7.5234374e-11,74,8.3072504e-10,6,1.1647246e-10,42,7.2028827e-09,60,2.8787067e-06,85,2.345246e-12,11,7.302221e-09,84,1.02008876e-07,65,1.2638958e-09,60,1.3811276e-06,57,5.049833e-13,27,7.339882e-09,6,6.828059e-11,85,2.736702e-14,59,3.6388562e-10,74,1.9435888e-07,79,1.8888709e-06,3,4.2700006e-12,86,1.4422025e-06,18,2.815053e-10,23,1.0999483e-08,54,4.92007e-09,39,7.5742435e-07,70,5.7096144e-10,15,5.8549554e-11,26,4.1382224e-11,50,1.7210759e-08,60,4.6422996e-10,78,2.73766e-10,27,5.3581683e-13,65,2.0960582e-09,10,1.0330981e-10,52,5.432227e-11,74,2.607499e-10,38,1.2583125e-07,52,1.4792515e-07,70,1.4111475e-12,14,2.573923e-10,60,9.415859e-10,62,5.8422078e-08,67,8.132026e-12,23,7.867602e-08,89,9.069797e-12,5,6.313812e-10,54,9.047723e-08,54,2.078745e-08,43,6.3226096e-08,53,6.0457346e-09,27,1.0684442e-09,49,8.636878e-09,49,1.2223086e-09,87,1.397396e-07,90,9.92673e-10,7,1.5311512e-08
