Text-values,Numerical-values
Notification 000220410191 is not locked,[[ 11 600   2   4  10]]
Order 520610560 is locked and cannot be changed,[[ 13 601   2  10  27  22   4  23  51]]
BAPI call must have a SAVE or DIALOG method,[[ 78  54 117  46  36  95  56  59  44]]
"The context with the session id [session-4771] scope type [null] is currently used in thread Thread-418268 [0x6b5fd].Current thread is SAPWM64ker 10032 Thread [0x7a8].),  |","[[ 21 149  20  21 100 150 100 602 151  60 125   2  48 152  17  38  38 603
  604 153  38   2 214 605  38 606]]"
Order 520607862 is currently being processed .,[[ 13 607   2  48  37  33]]
"The context with the session id [session-17] scope type [null] is currently used in thread Thread-19138 [0x4eba].Current thread is SAPWM64ker 10100 Thread [0x34c4].),  |","[[ 21 149  20  21 100 150 100 106 151  60 125   2  48 152  17  38  38 608
  609 153  38   2 214 610  38 611]]"
Order 520551605 is currently being processed .,[[ 13 612   2  48  37  33]]
Order 1000502275 is currently being processed .,[[ 13 613   2  48  37  33]]
Notification 000220413194 is not locked,[[ 11 614   2   4  10]]
Order 510610956 is locked and cannot be changed,[[ 13 615   2  10  27  22   4  23  51]]
Notification 000210294845 is not locked,[[ 11 473   2   4  10]]
"The context with the session id [session-3093] scope type [null] is currently used in thread Thread-510823 [0x7ee51].Current thread is SAPWM64ker 10176 Thread [0xc7e6].),  |","[[ 21 149  20  21 100 150 100 616 151  60 125   2  48 152  17  38  38 617
  618 153  38   2 214 619  38 620]]"
Order 520583310 is locked and cannot be changed,[[ 13 621   2  10  27  22   4  23  51]]
Notification 002000696942 is not locked,[[ 11 622   2   4  10]]
Order 520590088 is currently being processed .,[[ 13 623   2  48  37  33]]
Order 1000505316 is currently being processed .,[[ 13 624   2  48  37  33]]
Order 1000498558 is currently being processed .,[[ 13 625   2  48  37  33]]
Notification 000220411761 is not locked,[[ 11 626   2   4  10]]
Order 520451732 is locked and cannot be changed,[[ 13 627   2  10  27  22   4  23  51]]
21.08.2020 11:46:39  - Invalid User status E0017 for mobile status ZMMC,[[ 34  15   5  73 218 188   7   6   1 438   3   9   1 439]]
Order 1000494356 is currently being processed .,[[ 13 628   2  48  37  33]]
Notification 002000689984 is not locked,[[ 11 629   2   4  10]]
Order 520575734 is currently being processed .,[[ 13 630   2  48  37  33]]
Order 520511750 is locked and cannot be changed,[[ 13 631   2  10  27  22   4  23  51]]
"The context with the session id [session-14565] scope type [null] is currently used in thread Thread-653750 [0xa2952].Current thread is SAPWM64ker 10792 Thread [0x27da].),  |","[[ 21 149  20  21 100 150 100 632 151  60 125   2  48 152  17  38  38 633
  634 153  38   2 214 635  38 636]]"
Order 1000490846 is locked and cannot be changed,[[ 13 637   2  10  27  22   4  23  51]]
"Problem in BAPI Create (/SMERP/HR_DOCATSTIMESHEET_GET):The context with the session id [session-16] scope type [null] is currently used in thread Thread-12220 [0x6fea].Current thread is SAPWM64ker 10928 Thread [0xbc9].),  |","[[160  17  78 155 638 639 640 474  21 149  20  21 100 150 100 102 151  60
  125   2  48 152  17  38  38 641 642 153  38   2 214 643  38 644]]"
Order 1000479636 is locked and cannot be changed,[[ 13 645   2  10  27  22   4  23  51]]
Order 520587157 is currently being processed .,[[ 13 646   2  48  37  33]]
"The context with the session id [session-2200] scope type [null] is currently used in thread Thread-607506 [0x95657].Current thread is SAPWM64ker 11088 Thread [0x15d2d].),  |","[[ 21 149  20  21 100 150 100 647 151  60 125   2  48 152  17  38  38 648
  649 153  38   2 214 650  38 651]]"
Order 520458016 is locked and cannot be changed,[[ 13 475   2  10  27  22   4  23  51]]
Order 520552637 is locked and cannot be changed,[[ 13 652   2  10  27  22   4  23  51]]
Notification 000210301119 is not locked,[[ 11 653   2   4  10]]
Order 520513562 is currently being processed .,[[ 13 654   2  48  37  33]]
Order 520602098 is currently being processed .,[[ 13 655   2  48  37  33]]
Order 520621554 is currently being processed .,[[ 13 656   2  48  37  33]]
21.08.2020 15:06:16  - Invalid User status E0017 for mobile status ZMMC,[[ 34  15   5  18 115 102   7   6   1 438   3   9   1 439]]
Order 1000510433 is locked and cannot be changed,[[ 13 657   2  10  27  22   4  23  51]]
Order 520615959 is currently being processed .,[[ 13 658   2  48  37  33]]
Notification 000220413877 is not locked,[[ 11 659   2   4  10]]
Order 520625875 is currently being processed .,[[ 13 660   2  48  37  33]]
Order 520594308 is locked and cannot be changed,[[ 13 661   2  10  27  22   4  23  51]]
Order 520545887 is locked and cannot be changed,[[ 13 662   2  10  27  22   4  23  51]]
Order 520537365 is currently being processed .,[[ 13 663   2  48  37  33]]
Order 520441268 is currently being processed .,[[ 13 664   2  48  37  33]]
Notification 002000702002 is not locked,[[ 11 665   2   4  10]]
Notification 000210301569 is not locked,[[ 11 666   2   4  10]]
Order 520577922 is locked and cannot be changed,[[ 13 667   2  10  27  22   4  23  51]]
Order 520621553 is locked and cannot be changed,[[ 13 668   2  10  27  22   4  23  51]]
Order 1000490851 is locked and cannot be changed,[[ 13 669   2  10  27  22   4  23  51]]
Order 520592133 is locked and cannot be changed,[[ 13 670   2  10  27  22   4  23  51]]
"The context with the session id [session-1031] scope type [null] is currently used in thread Thread-167203 [0x29ed6].Current thread is SAPWM64ker 2364 Thread [0x1015d].),  |","[[ 21 149  20  21 100 150 100 671 151  60 125   2  48 152  17  38  38 672
  673 153  38   2 214 674  38 675]]"
Order 550074517 is locked and cannot be changed,[[ 13 676   2  10  27  22   4  23  51]]
21.08.2020 11:44:14  - Invalid User status E0017 for mobile status ZMMC,[[ 34  15   5  73 215  79   7   6   1 438   3   9   1 439]]
Order 1000508235 is locked and cannot be changed,[[ 13 677   2  10  27  22   4  23  51]]
Order 520583131 is currently being processed .,[[ 13 678   2  48  37  33]]
Notification 000210294238 is not locked,[[ 11 679   2   4  10]]
Order 520566906 is locked and cannot be changed,[[ 13 680   2  10  27  22   4  23  51]]
Notification 000220413435 is not locked,[[ 11 681   2   4  10]]
21.08.2020 11:44:36  - Invalid User status E0017 for mobile status ZMMC,[[ 34  15   5  73 215 200   7   6   1 438   3   9   1 439]]
"The context with the session id [session-627] scope type [null] is currently used in thread Thread-344279 [0x55958].Current thread is SAPWM64ker 3080 Thread [0x2aee7].),  |","[[ 21 149  20  21 100 150 100 682 151  60 125   2  48 152  17  38  38 683
  684 153  38   2 214 685  38 686]]"
Order 520580087 is locked and cannot be changed,[[ 13 687   2  10  27  22   4  23  51]]
Order 1000495422 is locked and cannot be changed,[[ 13 688   2  10  27  22   4  23  51]]
Order 520568752 is locked and cannot be changed,[[ 13 689   2  10  27  22   4  23  51]]
"The context with the session id [session-12] scope type [null] is currently used in thread Thread-104948 [0x1aefc].Current thread is SAPWM64ker 3248 Thread [0x1831b].),  |","[[ 21 149  20  21 100 150 100 120 151  60 125   2  48 152  17  38  38 690
  691 153  38   2 214 692  38 693]]"
Order 520578402 is locked and cannot be changed,[[ 13 694   2  10  27  22   4  23  51]]
Order 1000489514 is locked and cannot be changed,[[ 13 695   2  10  27  22   4  23  51]]
Order 520606425 is currently being processed .,[[ 13 696   2  48  37  33]]
"The context with the session id [session-329] scope type [null] is currently used in thread Thread-259171 [0x49083].Current thread is SAPWM64ker 3624 Thread [0x35a11].),  |","[[ 21 149  20  21 100 150 100 697 151  60 125   2  48 152  17  38  38 698
  699 153  38   2 214 700  38 701]]"
Notification 000210297302 is not locked,[[ 11 702   2   4  10]]
Order 520563925 is currently being processed .,[[ 13 703   2  48  37  33]]
Notification 000210294802 is not locked,[[ 11 704   2   4  10]]
Order 520571041 is locked and cannot be changed,[[ 13 705   2  10  27  22   4  23  51]]
Order 1000494691 is currently being processed .,[[ 13 706   2  48  37  33]]
Order 1000488190 is locked and cannot be changed,[[ 13 707   2  10  27  22   4  23  51]]
Order 520597270 is locked and cannot be changed,[[ 13 708   2  10  27  22   4  23  51]]
Order 1000489536 is locked and cannot be changed,[[ 13 709   2  10  27  22   4  23  51]]
Order 520596401 is locked and cannot be changed,[[ 13 710   2  10  27  22   4  23  51]]
Order 520491224 is locked and cannot be changed,[[ 13 711   2  10  27  22   4  23  51]]
Order 520599054 is currently being processed .,[[ 13 712   2  48  37  33]]
Order 520609300 is locked and cannot be changed,[[ 13 713   2  10  27  22   4  23  51]]
Order 520606214 is locked and cannot be changed,[[ 13 714   2  10  27  22   4  23  51]]
Notification 002000705687 is not locked,[[ 11 715   2   4  10]]
Notification 000220413610 is not locked,[[ 11 476   2   4  10]]
Order 520625908 is currently being processed .,[[ 13 716   2  48  37  33]]
Order 1000500673 is locked and cannot be changed,[[ 13 717   2  10  27  22   4  23  51]]
Notification 002000688554 is not locked,[[ 11 718   2   4  10]]
Order 550074157 is locked and cannot be changed,[[ 13 719   2  10  27  22   4  23  51]]
"The context with the session id [session-1285] scope type [null] is currently used in thread Thread-626210 [0xa0aef].Current thread is SAPWM64ker 6504 Thread [0x7c1ae].),  |","[[ 21 149  20  21 100 150 100 720 151  60 125   2  48 152  17  38  38 721
  722 153  38   2 214 723  38 724]]"
Order 1000493344 is locked and cannot be changed,[[ 13 477   2  10  27  22   4  23  51]]
Notification 000210299066 is not locked,[[ 11 725   2   4  10]]
"The context with the session id [session-1030] scope type [null] is currently used in thread Thread-294079 [0x496ee].Current thread is SAPWM64ker 7364 Thread [0x1632c].),  |","[[ 21 149  20  21 100 150 100 726 151  60 125   2  48 152  17  38  38 727
  728 153  38   2 214 729  38 730]]"
"The context with the session id [session-76] scope type [null] is currently used in thread Thread-207969 [0x33b21].Current thread is SAPWM64ker 7440 Thread [0x2f318].),  |","[[ 21 149  20  21 100 150 100 731 151  60 125   2  48 152  17  38  38 732
  733 153  38   2 214 478  38 479]]"
"The context with the session id [session-341] scope type [null] is currently used in thread Thread-387810 [0x5fd64].Current thread is SAPWM64ker 7440 Thread [0x2f318].),  |","[[ 21 149  20  21 100 150 100 734 151  60 125   2  48 152  17  38  38 735
  736 153  38   2 214 478  38 479]]"
Notification 000220415576 is not locked,[[ 11 737   2   4  10]]
Order 520622811 is currently being processed .,[[ 13 738   2  48  37  33]]
"The context with the session id [session-1235] scope type [null] is currently used in thread Thread-243268 [0x3cb67].Current thread is SAPWM64ker 7708 Thread [0x8b17].),  |","[[ 21 149  20  21 100 150 100 739 151  60 125   2  48 152  17  38  38 740
  741 153  38   2 214 742  38 743]]"
Notification 002000693936 is not locked,[[ 11 744   2   4  10]]
Order 520596403 is locked and cannot be changed,[[ 13 745   2  10  27  22   4  23  51]]
Order 1000504169 is locked and cannot be changed,[[ 13 746   2  10  27  22   4  23  51]]
Order 520562268 is locked and cannot be changed,[[ 13 747   2  10  27  22   4  23  51]]
Order 520598865 is locked and cannot be changed,[[ 13 748   2  10  27  22   4  23  51]]
"The context with the session id [session-470] scope type [null] is currently used in thread Thread-26589 [0x6ddd].Current thread is SAPWM64ker 8080 Thread [0x27ee].),  |","[[ 21 149  20  21 100 150 100 749 151  60 125   2  48 152  17  38  38 750
  751 153  38   2 214 480  38 481]]"
"The context with the session id [session-1274] scope type [null] is currently used in thread Thread-351087 [0x56c24].Current thread is SAPWM64ker 8080 Thread [0x27ee].),  |","[[ 21 149  20  21 100 150 100 752 151  60 125   2  48 152  17  38  38 753
  754 153  38   2 214 480  38 481]]"
Order 1000489121 is currently being processed .,[[ 13 755   2  48  37  33]]
Order 520577903 is locked and cannot be changed,[[ 13 756   2  10  27  22   4  23  51]]
Order 520563574 is currently being processed .,[[ 13 757   2  48  37  33]]
"The context with the session id [session-1038] scope type [null] is currently used in thread Thread-251760 [0x46e68].Current thread is SAPWM64ker 8100 Thread [0xa5e0].),  |","[[ 21 149  20  21 100 150 100 758 151  60 125   2  48 152  17  38  38 759
  760 153  38   2 214 761  38 762]]"
21.08.2020 15:05:18  - Invalid User status E0017 for mobile status ZMMC,[[ 34  15   5  18 107 114   7   6   1 438   3   9   1 439]]
21.08.2020 14:52:11  - Invalid User status E0017 for mobile status ZMMC,[[ 34  15   5  79 208  73   7   6   1 438   3   9   1 439]]
Order 520535227 is currently being processed .,[[ 13 763   2  48  37  33]]
Order 520567052 is locked and cannot be changed,[[ 13 764   2  10  27  22   4  23  51]]
Order 1000504685 is locked and cannot be changed,[[ 13 765   2  10  27  22   4  23  51]]
"The context with the session id [session-322] scope type [null] is currently used in thread Thread-123679 [0x1efb5].Current thread is SAPWM64ker 8792 Thread [0x8c00].),  |","[[ 21 149  20  21 100 150 100 766 151  60 125   2  48 152  17  38  38 767
  768 153  38   2 214 769  38 770]]"
Order 520552660 is locked and cannot be changed,[[ 13 771   2  10  27  22   4  23  51]]
Order 520541252 is currently being processed .,[[ 13 772   2  48  37  33]]
Order 520618737 is currently being processed .,[[ 13 773   2  48  37  33]]
Order 520594375 is locked and cannot be changed,[[ 13 774   2  10  27  22   4  23  51]]
Order 520193912 is locked and cannot be changed,[[ 13 775   2  10  27  22   4  23  51]]
Order 520592898 is currently being processed .,[[ 13 458   2  48  37  33]]
Order 520567026 is locked and cannot be changed,[[ 13 776   2  10  27  22   4  23  51]]
Order 550074487 is locked and cannot be changed,[[ 13 777   2  10  27  22   4  23  51]]
Order 1000492790 is locked and cannot be changed,[[ 13 778   2  10  27  22   4  23  51]]
Order 1000493344 is currently being processed .,[[ 13 477   2  48  37  33]]
"The context with the session id [session-2790] scope type [null] is currently used in thread Thread-342134 [0x55706].Current thread is SAPWM64ker 9520 Thread [0x675].),  |","[[ 21 149  20  21 100 150 100 779 151  60 125   2  48 152  17  38  38 780
  781 153  38   2 214 782  38 783]]"
"The context with the session id [session-1403] scope type [null] is currently used in thread Thread-171057 [0x2b231].Current thread is SAPWM64ker 9552 Thread [0x16d08].),  |","[[ 21 149  20  21 100 150 100 784 151  60 125   2  48 152  17  38  38 785
  786 153  38   2 214 787  38 788]]"
Order 520458016 is currently being processed .,[[ 13 475   2  48  37  33]]
Error while checking in and storing: Pk3086B.pdf,[[ 26  39 104  17  27 105 789 216]]
Error while checking in and storing: 1597221912234.jpg,[[ 26  39 104  17  27 105 790 447]]
Error while checking in and storing: cannizaro aug 19 hamad.xlsx,[[ 26  39 104  17  27 105 448 482  61 791 426]]
