ErrorValue_141,AccuracyValue_141,ErrorValue_101,AccuracyValue_101,ErrorValue_61,AccuracyValue_61,ErrorValue_52,AccuracyValue_52,ErrorValue_51,AccuracyValue_51,ErrorValue_40,AccuracyValue_40,ErrorValue_31,AccuracyValue_31,ErrorValue_20,AccuracyValue_20,ErrorValue_2,AccuracyValue_2,ErrorValue_1,AccuracyValue_1
1,0.9999999,2,0.99999976,4,0.99991477,2,0.99999857,2,0.99999726,2,0.99999833,2,0.99999976,2,0.99999976,2,0.9999987,95,0.99994516
19,5.2024888e-08,6,1.9043217e-07,21,7.225341e-05,6,7.4867205e-07,6,1.902169e-06,82,6.7969495e-07,6,2.1557956e-07,6,2.1131191e-07,6,4.5087347e-07,49,3.3699405e-05
55,2.1873435e-08,82,3.1543719e-09,28,6.473527e-06,82,4.0387485e-07,9,4.8106796e-07,6,6.066655e-07,82,3.8717083e-09,82,3.5672474e-09,82,4.376522e-07,57,7.0130272e-06
67,1.0912854e-08,66,8.394488e-10,34,4.662382e-06,9,3.4507943e-07,82,3.1613993e-07,9,3.5747962e-07,66,8.017689e-10,66,9.000287e-10,9,2.9094596e-07,52,6.690429e-06
76,1.4806503e-10,20,3.9674804e-12,6,9.5192297e-07,67,2.6409825e-09,13,5.220544e-09,67,3.6198193e-09,20,3.5868162e-12,20,4.439225e-12,67,5.540811e-09,74,4.0182845e-06
36,1.2745759e-10,28,9.80106e-13,22,4.5014696e-07,13,7.0435036e-10,67,2.029429e-09,13,8.200566e-10,28,8.7732724e-13,28,9.238345e-13,13,1.6932556e-09,30,2.6261712e-06
20,4.2891277e-11,15,2.7974072e-13,13,3.9942776e-07,20,4.697922e-10,15,1.0927816e-09,15,7.4931933e-10,15,3.3378115e-13,15,2.7678505e-13,15,5.7040583e-10,71,6.1980796e-07
2,3.650693e-13,10,1.8867017e-15,44,1.9822084e-09,15,2.8498143e-10,14,2.4163527e-10,20,3.6907966e-10,10,1.8736411e-15,10,2.2345644e-15,20,2.9719874e-10,89,1.0577777e-07
22,1.0387813e-14,40,8.0418774e-16,5,1.26394e-09,14,9.79762e-11,20,1.6629012e-10,14,1.2293137e-10,40,6.811502e-16,40,7.7250416e-16,14,5.909146e-11,27,6.167292e-08
28,4.1361495e-15,9,4.7463327e-16,54,1.875016e-11,10,2.562196e-12,38,1.36413875e-11,38,1.418825e-11,9,6.516711e-16,9,5.5515656e-16,38,4.1617692e-11,7,1.5311512e-08
8,9.405424e-16,29,2.7008943e-16,61,1.0810318e-11,38,2.0519099e-12,26,1.6913011e-12,10,1.7583012e-12,29,2.7574025e-16,29,2.936942e-16,26,1.0569926e-12,16,9.534701e-09
42,1.6664486e-18,13,2.0432187e-16,84,2.8774325e-12,26,5.7904495e-13,10,1.3176364e-12,26,7.928717e-13,13,2.2802013e-16,13,2.195669e-16,10,7.9709487e-13,44,3.315132e-09
34,6.589719e-20,38,1.7305878e-16,3,1.5649731e-12,29,1.3291196e-13,29,1.2332708e-12,66,2.5486926e-13,38,1.8839032e-16,38,1.2925756e-16,66,6.7013506e-13,40,4.7463056e-10
5,1.0599129e-20,14,7.687527e-17,63,8.112905e-13,28,8.254188e-14,66,6.2765754e-13,29,2.1615297e-13,14,1.1311566e-16,14,8.144121e-17,29,6.1670065e-13,17,5.4084685e-11
9,1.0742482e-22,67,2.5937993e-17,40,7.631347e-13,66,5.9635985e-14,28,3.720827e-13,28,1.7122343e-13,67,3.2765316e-17,67,2.2847539e-17,28,4.4101612e-13,90,2.6910557e-11
38,9.704432e-23,3,1.6868125e-18,55,3.7200375e-13,22,2.6329762e-16,22,9.937189e-16,22,2.1355045e-16,3,1.6357631e-18,3,1.8770291e-18,22,5.039697e-16,84,6.9618714e-13
6,2.944347e-23,59,1.9768955e-19,49,3.272812e-13,19,1.2575987e-16,3,3.965155e-16,3,1.3006162e-16,59,2.0560696e-19,59,2.419428e-19,3,2.672492e-16,6,4.1252524e-13
10,2.0863577e-23,22,1.650788e-19,16,1.0229196e-13,3,5.1999283e-17,18,4.7336433e-17,18,3.9379187e-17,22,1.3730379e-19,22,1.780806e-19,18,1.0234977e-16,78,1.2215663e-13
26,1.5637727e-23,19,4.1431978e-20,85,1.6716072e-14,18,2.9842896e-18,19,3.7474925e-17,19,3.668332e-17,19,4.2483166e-20,19,4.7924437e-20,40,3.1301606e-17,25,1.0757136e-13
35,6.5819422e-24,26,2.1904516e-21,91,7.007213e-15,40,1.9002833e-18,40,3.488586e-17,40,7.470773e-18,26,3.321692e-21,26,1.9717573e-21,19,2.5617792e-17,21,8.9930335e-14
86,5.6686886e-24,18,1.5524334e-21,29,4.683595e-15,25,2.2264219e-20,25,1.313226e-19,25,8.938709e-20,18,1.7426801e-21,18,1.1304032e-21,25,1.807151e-19,94,8.0219306e-14
31,1.265309e-24,71,3.333521e-22,56,2.1942444e-15,43,5.759123e-21,43,3.3565613e-20,43,4.665765e-21,25,3.430677e-22,71,2.6111066e-22,34,6.962296e-21,92,5.2631788e-14
63,1.4506777e-25,25,2.4584907e-22,43,2.0005669e-15,34,2.2868743e-21,34,1.13860636e-20,34,2.3843398e-21,71,3.2654929e-22,25,2.4687345e-22,43,5.2624176e-21,75,5.520244e-15
41,1.3330665e-25,61,6.35136e-26,1,1.3840826e-15,5,1.5014059e-21,12,3.5049593e-21,71,1.19427e-21,61,4.4143193e-26,61,4.4956524e-26,71,1.6434396e-21,29,1.1014723e-15
11,6.7527147e-26,41,2.2361894e-26,11,9.457149e-16,59,8.439877e-22,5,3.4734804e-21,59,8.273603e-22,41,1.7673862e-26,41,2.2353535e-26,12,1.305883e-21,88,3.404349e-16
82,5.1971917e-27,12,1.1172052e-26,2,9.099084e-16,12,8.3004116e-22,71,1.8159436e-21,12,6.224147e-22,12,1.3466817e-26,12,1.3307284e-26,61,7.7842613e-22,66,3.3799185e-16
69,1.5614506e-27,34,5.8436713e-27,52,2.0530844e-16,71,2.8853808e-22,59,1.5958845e-21,5,3.9604157e-22,34,5.418054e-27,34,5.263371e-27,59,6.561535e-22,3,3.1207902e-16
